Metric,Value,Description
ramulator.active_cycles_6_1,104297,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,52793,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,52227,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,121632,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,58429,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,64199,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,101900,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,51336,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,51611,Total active cycles for level _6_3_1
ramulator.active_cycles_7,390656,Total active cycles for level _7
ramulator.active_cycles_7_0,96629,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,48475,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,48581,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,93157,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,48151,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,45671,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,116761,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,57137,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,60437,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,103425,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,54218,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,49956,Total active cycles for level _7_3_1
ramulator.active_cycles_8,388550,Total active cycles for level _8
ramulator.active_cycles_8_0,96046,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,47400,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,49117,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,94730,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,45997,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,49264,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,109299,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,52703,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,57075,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,105596,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,56349,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,50228,Total active cycles for level _8_3_1
ramulator.active_cycles_9,409949,Total active cycles for level _9
ramulator.active_cycles_9_0,102232,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,50868,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,51815,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,95852,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,49581,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,46471,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,116222,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,54853,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,61933,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,110863,Total active cycles for level _9_3
ramulator.active_cycles_9_3_0,54512,Total active cycles for level _9_3_0
ramulator.active_cycles_9_3_1,57288,Total active cycles for level _9_3_1
ramulator.average_serving_requests_0,0.000129,The average of read and write requests that are served in this DRAM element per memory cycle for level _0
