Metric,Value,Description
ramulator.active_cycles_31_0,5482206,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,2731688,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,2824475,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,6105932,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,3675409,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,2478005,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,5516291,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,2581511,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,2960157,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,6480674,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,3610472,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,2938748,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,6644025,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,3909589,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,2798863,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,6225251,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,2981908,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,3315409,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,6409465,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,3027158,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,3414222,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,8687409,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,4204678,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,4533010,Total active cycles for level _3_3_1
ramulator.active_cycles_4,29239043,Total active cycles for level _4
ramulator.active_cycles_4_0,6225813,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,3495315,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,2777350,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,7423504,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,3212739,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,4267054,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,5241630,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,2887198,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,2377744,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,11808637,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,6868488,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,4980072,Total active cycles for level _4_3_1
ramulator.active_cycles_5,17083769,Total active cycles for level _5
ramulator.active_cycles_5_0,5198575,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,2529344,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,2744279,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,4746752,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,2489690,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,2319218,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,4266520,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,2262147,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,2028663,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,4345491,Total active cycles for level _5_3
