Metric,Value,Description
ramulator.active_cycles_3_2_1,4956838,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,9508953,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,4301381,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,5219736,Total active cycles for level _3_3_1
ramulator.active_cycles_4,44535042,Total active cycles for level _4
ramulator.active_cycles_4_0,12193482,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,6780520,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,5429061,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,14667924,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,6063373,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,8623077,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,9158449,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,5341878,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,3839374,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,9347200,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,4736507,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,4624832,Total active cycles for level _4_3_1
ramulator.active_cycles_5,40188089,Total active cycles for level _5
ramulator.active_cycles_5_0,12123009,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,6066005,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,6068758,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,11790879,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,6064359,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,5743875,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,8213367,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,4536123,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,3692061,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,8885827,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,3503914,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,5392848,Total active cycles for level _5_3_1
ramulator.active_cycles_6,39113714,Total active cycles for level _6
ramulator.active_cycles_6_0,11202101,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,5424316,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,5787759,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,11733992,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,6369476,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,5381433,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,7899518,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3802452,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,4114119,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,9112723,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,3855212,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,5268593,Total active cycles for level _6_3_1
ramulator.active_cycles_7,34141370,Total active cycles for level _7
ramulator.active_cycles_7_0,9531921,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,4785197,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,4759760,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,9479232,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,5008738,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,4491886,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,7676703,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,3887047,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,3809087,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,8308454,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,3613367,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,4709456,Total active cycles for level _7_3_1
ramulator.active_cycles_8,34579604,Total active cycles for level _8
ramulator.active_cycles_8_0,9818927,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,4746296,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,5086049,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,9328773,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,5318957,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,4032098,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,7728914,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,3749288,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,4000592,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,8529851,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,3814247,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,4729728,Total active cycles for level _8_3_1
ramulator.active_cycles_9,43001018,Total active cycles for level _9
ramulator.active_cycles_9_0,11746895,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,5484285,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,6275703,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,12022979,Total active cycles for level _9_1
