Metric,Value,Description
ramulator.active_cycles_7_3,67245,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,28392,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,39194,Total active cycles for level _7_3_1
ramulator.active_cycles_8,170340,Total active cycles for level _8
ramulator.active_cycles_8_0,36835,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,16703,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,20337,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,42416,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,16766,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,25776,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,48241,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,8799,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,39676,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,47919,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,19819,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,28563,Total active cycles for level _8_3_1
ramulator.active_cycles_9,288905,Total active cycles for level _9
ramulator.active_cycles_9_0,54777,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,16827,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,38216,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,70980,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,43300,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,27802,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,118791,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,11097,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,107904,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,49434,Total active cycles for level _9_3
ramulator.active_cycles_9_3_0,9567,Total active cycles for level _9_3_0
ramulator.active_cycles_9_3_1,39998,Total active cycles for level _9_3_1
ramulator.average_serving_requests_0,0.004937,The average of read and write requests that are served in this DRAM element per memory cycle for level _0
ramulator.average_serving_requests_0_0,0.001133,The average of read and write requests that are served in this DRAM element per memory cycle for level _0_0
